0	110	-20
0	112	-20
-30	86	-80
-20	49	-70
35	85.5	-80
10	-24.9	-50
0.9	-105	40.3
0.9	-131.8	52.5
-58.3	-88.8	16.9
-83.1	-107.6	20.6
-32.2	-70.7	81.7
-40.2	-88.9	103.9
33.9	-71.4	81.9
45.9	-88.9	101
57	-91.3	18.9
81.6	-109.6	29.2
-86.7	-36.1	-7
-118.8	-42	-6.9
-78	-43.4	51.7
-104.9	-54.8	60.4
-53.7	-4.6	91.3
-72.7	-7.3	114.8
0.4	-27.3	104.4
-0.7	-31.3	135.3
53.2	-5.3	89.7
72.1	-8.9	112.3
73.4	-44	50.4
101.5	-53.3	56.2
86.8	-37	-6.3
116.9	-47.6	-0.2
-87.7	-19.9	-70.3
-119.7	-20.3	-77.1
-88.7	27.8	-23.6
-120	30.6	-24.9
-87.8	10.1	40.6
-115.4	13.4	47.2
-52.5	60.2	72.2
-73.2	70.7	91.6
0.9	31.9	101.2
1.5	41.1	131.5
55.6	58.8	69.9
74.9	68.9	90.3
86.7	12.1	36
116.2	12.2	42
89.8	26.3	-25.5
120.5	30.3	-25.6
91.7	-23.7	-70.9
122.9	-22.8	-72.1
-72	39.8	-86.4
-100.6	50.3	-98.7
-60	80.5	-32.8
-83.2	100.8	-40.7
-31.6	102.4	23.7
-42.4	130	32
0.9	84.6	71
2	107	93.3
34.4	100	22.8
47.5	126.4	27.2
76.4	63.6	17.6
102.4	76.7	21.1
58.1	80.3	-35.7
80.6	101.2	-41.4
75.9	37.1	-86.4
102.6	52.1	-94.7
-30.4	79.8	-94.5
-42	103.2	-113.1
0	103.5	-37.7
-0.1	133.7	-42.9
30.8	80.5	-90.5
44.6	103.4	-107.5
-77.8	63.4	20.3
-104.4	76.9	24.4
